content_id,path,kind,content_status,application_status,owner,review_date,publication
AC-001,00-academy-governance/ACADEMY_CHARTER.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-002,00-academy-governance/CONTRIBUTING.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-003,00-academy-governance/EXTERNAL_DEPENDENCIES.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-004,00-academy-governance/MIGRATION_RECORD.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-005,00-academy-governance/OWNER_DECISIONS.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-006,00-academy-governance/RECOVERY.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-007,00-academy-governance/source-assessments/ireps-full-functionality-report.md,historical assessment,source material,historical; unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-008,00-academy-governance/source-assessments/mobile-glossary-before-consolidation.md,historical assessment,source material,historical; unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-009,00-academy-governance/source-assessments/mobile-manual-before-consolidation.md,historical assessment,source material,historical; unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-010,00-academy-governance/source-assessments/onboarding-code-report.md,historical assessment,source material,historical; unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-011,00-academy-governance/source-assessments/sales-monthly-refresh-population-as-built-2026-09-05.md,historical assessment,source material,historical; unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-012,00-academy-governance/SOURCE_REGISTER.csv,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
